city,num_of_rooms,num_of_bathrooms,furnished,size_in_m2,floor,age,rental_type,rental_price
Muscat,Studio,One,Not furnished,96,Second floor,One to five years,Monthly,230
Muscat,Two,Two,Fully furnished,110,Second floor,One to five years,Daily,20
Muscat,Three,Three,Partially furnished,120,First floor,One to five years,Yearly,190
Muscat,Studio,One,Fully furnished,150,Ground floor,One to five years,Monthly,200
Muscat,Two,Three,Not furnished,110,Second floor,One to five years,Monthly,160
Dhofar,Three,Three,Fully furnished,110,Ground floor,One to five years,Daily,20
Dhofar,Three,Two,Partially furnished,150,Ground floor,One to five years,Monthly,150
Muscat,Two,Two,Not furnished,90,Sixth floor and up,One to five years,Monthly,160
Muscat,Two,Two,Not furnished,90,Sixth floor and up,One to five years,Monthly,160
Al Batinah,Two,Two,Not furnished,100,First floor,Zero to eleven months,Monthly,100
Muscat,Three,Three,Not furnished,90,Second floor,One to five years,Monthly,160
Muscat,Two,Three,Not furnished,130,First floor,One to five years,Monthly,150
Muscat,Two,Two,Fully furnished,110,First floor,Six to nine years,Yearly,325
Muscat,Two,Two,Partially furnished,85,First floor,Six to nine years,Yearly,230
Muscat,Two,Two,Not furnished,100,First floor,Six to nine years,Yearly,185
Muscat,Two,Two,Not furnished,90,Ground floor,ten to nineteen years,Yearly,350
Muscat,Two,Two,Fully furnished,92,Third floor,Zero to eleven months,Monthly,300
Al Batinah,Three,Two,Not furnished,100,First floor,One to five years,Monthly,80
Ad Dakhiliyah,Two,Three,Not furnished,250,First floor,Six to nine years,Monthly,130
Muscat,One,One,Fully furnished,120,Third floor,One to five years,Monthly,220
Dhofar,Two,Two,Fully furnished,78,Second floor,One to five years,Monthly,120
Muscat,Studio,Two,Partially furnished,250,Sixth floor and up,One to five years,Yearly,600
Muscat,One,Three,Fully furnished,120,Sixth floor and up,One to five years,Daily,15
Muscat,Three,Three,Fully furnished,120,Ground floor,One to five years,Monthly,260
Dhofar,Two,Two,Fully furnished,100,Ground floor,Zero to eleven months,Monthly,120
Muscat,Studio,One,Not furnished,200,Ground floor,Zero to eleven months,Monthly,130
Dhofar,Two,Two,Fully furnished,120,Ground floor,Six to nine years,Monthly,160
Dhofar,Two,One,Fully furnished,90,First floor,Six to nine years,Monthly,100
Dhofar,Three,Two,Fully furnished,80,Ground floor,Zero to eleven months,Yearly,150
Al Batinah,Two,Two,Fully furnished,200,Second floor,One to five years,Monthly,150
Muscat,Two,Two,Fully furnished,200,Second floor,One to five years,Monthly,300
Al Batinah,Two,One,Not furnished,100,Second floor,Six to nine years,Monthly,125
Muscat,Three,Three,Not furnished,150,First floor,One to five years,Yearly,230
Al Batinah,Three,Three,Not furnished,120,Second floor,Zero to eleven months,Monthly,100
Muscat,One,One,Fully furnished,130,Fourth floor,One to five years,Monthly,250
Muscat,One,One,Not furnished,50,First floor,One to five years,Yearly,160
Muscat,Three,Two,Not furnished,72,First floor,ten to nineteen years,Yearly,135
Muscat,Two,Two,Fully furnished,70,Fourth floor,One to five years,Yearly,240
Muscat,Two,Two,Not furnished,100,Sixth floor and up,Zero to eleven months,Yearly,230
Muscat,Four,Three,Not furnished,131,Fourth floor,One to five years,Yearly,300
Muscat,Three,Three,Not furnished,185,First floor,Six to nine years,Yearly,275
Muscat,One,One,Fully furnished,150,Fourth floor,One to five years,Monthly,220
Muscat,Two,Three,Not furnished,90,Third floor,One to five years,Yearly,325
Muscat,Four,Five or more,Not furnished,350,Second floor,One to five years,Yearly,450
Muscat,One,One,Fully furnished,150,Sixth floor and up,One to five years,Monthly,140
Muscat,Three,Four,Fully furnished,200,Second floor,One to five years,Yearly,320
Muscat,Three,Three,Not furnished,280,First floor,Six to nine years,Yearly,250
Muscat,Two,Two,Not furnished,125,Third floor,One to five years,Yearly,270
Muscat,Three,Two,Not furnished,150,Second floor,Six to nine years,Yearly,300
Muscat,Two,Two,Not furnished,125,Second floor,Zero to eleven months,Yearly,190
Muscat,Two,Two,Not furnished,52,First floor,One to five years,Yearly,230
Muscat,Two,Three,Not furnished,521,First floor,One to five years,Yearly,230
Muscat,Three,Three,Fully furnished,117,First floor,One to five years,Daily,15
Muscat,Two,Two,Not furnished,300,Third floor,Six to nine years,Monthly,350
Muscat,Three,Two,Partially furnished,85,Sixth floor and up,Six to nine years,Yearly,170
Muscat,Two,Two,Not furnished,552,First floor,One to five years,Yearly,220
Muscat,Three,Two,Not furnished,120,Second floor,One to five years,Monthly,110
Muscat,Two,Two,Not furnished,55,Second floor,One to five years,Yearly,180
Muscat,Three,Two,Not furnished,110,Third floor,Six to nine years,Yearly,180
Muscat,One,One,Fully furnished,60,Second floor,One to five years,Monthly,290
Muscat,Three,Two,Fully furnished,95,Second floor,One to five years,Monthly,400
Muscat,Two,Two,Fully furnished,75,Second floor,One to five years,Monthly,330
Muscat,Two,Two,Not furnished,130,Fifth floor,One to five years,Yearly,190
Al Batinah,Two,Two,Fully furnished,100,Ground floor,Zero to eleven months,Daily,200
Dhofar,Three,Two,Fully furnished,90,First floor,One to five years,Monthly,130
Muscat,Two,Two,Not furnished,96,Fourth floor,Zero to eleven months,Yearly,250
Muscat,Two,Two,Partially furnished,110,Fifth floor,One to five years,Yearly,400
Muscat,One,Two,Partially furnished,75,Second floor,One to five years,Yearly,285
Dhofar,Two,One,Fully furnished,80,Fifth floor,Zero to eleven months,Daily,90
Muscat,Two,Two,Not furnished,90,Fourth floor,Six to nine years,Yearly,150
Dhofar,Two,Three,Fully furnished,88,First floor,One to five years,Daily,12
Al Batinah,One,One,Not furnished,70,Second floor,One to five years,Monthly,80
Muscat,One,Two,Fully furnished,77,Ground floor,Six to nine years,Yearly,500
Ad Dhahirah,Two,Two,Not furnished,90,First floor,One to five years,Monthly,100
Ad Dhahirah,Two,Two,Fully furnished,100,First floor,One to five years,Monthly,140
Muscat,Two,Two,Partially furnished,120,Second floor,One to five years,Monthly,170
Muscat,Two,Three,Not furnished,140,Fourth floor,One to five years,Yearly,400
Al Batinah,One,Two,Fully furnished,90,Sixth floor and up,One to five years,Daily,16
Al Batinah,Two,Two,Not furnished,100,First floor,One to five years,Yearly,150
Dhofar,Studio,One,Fully furnished,60,First floor,Zero to eleven months,Daily,50
Dhofar,Two,Three,Fully furnished,219,Ground floor,One to five years,Yearly,125
Muscat,One,Two,Not furnished,90,Second floor,One to five years,Yearly,180
Muscat,Three,Three,Not furnished,120,Third floor,One to five years,Monthly,100
Ash Sharqiyah,Three,Three,Fully furnished,130,Ground floor,One to five years,Yearly,180
Muscat,Three,Two,Not furnished,100,First floor,Six to nine years,Monthly,250
Dhofar,Two,Three,Fully furnished,150,Ground floor,Zero to eleven months,Daily,30
Ad Dakhiliyah,One,One,Fully furnished,55,First floor,One to five years,Monthly,150
Muscat,Two,Three,Fully furnished,95,Ground floor,Six to nine years,Yearly,470
Muscat,One,One,Fully furnished,85,First floor,One to five years,Monthly,180
Muscat,Two,One,Not furnished,80,Ground floor,Twenty years or more,Monthly,170
Muscat,Two,Three,Not furnished,90,Third floor,One to five years,Yearly,100
Muscat,Three,Four,Not furnished,250,Ground floor,One to five years,Monthly,200
Muscat,Two,Two,Not furnished,80,Fifth floor,One to five years,Monthly,155
Muscat,Two,One,Not furnished,75,Fourth floor,One to five years,Yearly,150
Muscat,Three,Two,Not furnished,108,Ground floor,Six to nine years,Monthly,180
Muscat,One,One,Not furnished,112,Ground floor,One to five years,Monthly,420
Muscat,Two,Two,Fully furnished,100,Third floor,One to five years,Monthly,320
Muscat,Two,Two,Fully furnished,100,Fourth floor,Six to nine years,Monthly,280
Dhofar,Two,Two,Fully furnished,75,Ground floor,One to five years,Daily,15
Muscat,One,One,Not furnished,100,Second floor,One to five years,Monthly,180
Muscat,Three,Three,Partially furnished,150,Ground floor,One to five years,Yearly,190
Ash Sharqiyah,Two,One,Not furnished,90,First floor,One to five years,Monthly,70
Al Batinah,Two,Two,Not furnished,140,Ground floor,One to five years,Monthly,110
Muscat,One,Two,Not furnished,90,Third floor,Zero to eleven months,Yearly,225
Muscat,Two,Three,Not furnished,100,Third floor,Zero to eleven months,Yearly,250
Muscat,One,One,Not furnished,100,First floor,One to five years,Monthly,175
Muscat,Three,Three,Not furnished,186,First floor,Six to nine years,Yearly,320
Muscat,Two,Two,Not furnished,167,Second floor,Six to nine years,Yearly,250
Muscat,Two,Three,Fully furnished,100,Sixth floor and up,Zero to eleven months,Daily,15
Dhofar,Two,Two,Fully furnished,100,Second floor,One to five years,Monthly,120
Muscat,Studio,One,Fully furnished,600,First floor,Zero to eleven months,Monthly,145
Muscat,Two,Two,Not furnished,178,First floor,Six to nine years,Yearly,175
Muscat,Two,Two,Not furnished,100,Ground floor,ten to nineteen years,Monthly,180
Muscat,Two,Two,Not furnished,120,Ground floor,Six to nine years,Yearly,265
Muscat,Two,Three,Not furnished,111,Third floor,One to five years,Yearly,325
Muscat,One,One,Fully furnished,85,Ground floor,One to five years,Monthly,180
Muscat,Studio,Two,Fully furnished,77,First floor,Zero to eleven months,Daily,20
Muscat,Three,Three,Not furnished,400,First floor,One to five years,Yearly,280
Muscat,Two,Two,Not furnished,111,Second floor,One to five years,Yearly,220
Muscat,Two,Two,Not furnished,75,Ground floor,Six to nine years,Yearly,375
Muscat,Two,Three,Not furnished,111,First floor,One to five years,Yearly,400
Muscat,Three,Two,Not furnished,505,First floor,Twenty years or more,Monthly,220
Muscat,Two,Two,Not furnished,178,Second floor,Six to nine years,Yearly,175
Muscat,Two,Two,Not furnished,178,Second floor,Six to nine years,Yearly,175
Muscat,Two,Three,Not furnished,105,Third floor,Zero to eleven months,Monthly,350
Muscat,One,One,Fully furnished,200,Ground floor,One to five years,Monthly,230
Muscat,Two,Two,Not furnished,90,Sixth floor and up,Six to nine years,Yearly,190
Muscat,Two,One,Not furnished,75,Sixth floor and up,One to five years,Monthly,140
Muscat,One,One,Fully furnished,85,Ground floor,One to five years,Monthly,180
Muscat,Four,Four,Not furnished,145,Ground floor,Six to nine years,Monthly,350
Al Batinah,One,One,Not furnished,100,Second floor,Zero to eleven months,Yearly,80
Muscat,Three,Two,Not furnished,100,First floor,ten to nineteen years,Monthly,175
Muscat,One,One,Not furnished,110,Ground floor,Zero to eleven months,Monthly,185
Al Batinah,Two,Two,Not furnished,100,Second floor,Six to nine years,Monthly,90
Muscat,Two,Two,Not furnished,150,Ground floor,One to five years,Yearly,650
Muscat,Studio,Two,Fully furnished,90,First floor,Six to nine years,Daily,12
Muscat,Two,Three,Fully furnished,130,First floor,Six to nine years,Yearly,400
Dhofar,Two,Two,Fully furnished,100,Second floor,One to five years,Daily,12
Muscat,Two,Two,Not furnished,117,Second floor,One to five years,Yearly,200
Muscat,Two,Two,Not furnished,150,Ground floor,Zero to eleven months,Monthly,160
Ad Dhahirah,Three,Three,Not furnished,100,Ground floor,One to five years,Monthly,100
Muscat,Two,Three,Not furnished,100,First floor,One to five years,Yearly,325
Muscat,Three,Three,Fully furnished,150,First floor,One to five years,Yearly,400
Muscat,Two,Three,Fully furnished,100,Second floor,One to five years,Monthly,320
Muscat,Two,Three,Not furnished,130,Fourth floor,One to five years,Yearly,350
Muscat,Four,Three,Not furnished,166,First floor,ten to nineteen years,Monthly,350
Muscat,Two,Two,Not furnished,52,First floor,One to five years,Yearly,230
Dhofar,Two,Three,Fully furnished,150,Ground floor,Zero to eleven months,Daily,170
Muscat,Two,Two,Not furnished,200,Second floor,One to five years,Yearly,220
Muscat,Two,Three,Not furnished,150,First floor,One to five years,Yearly,285
Muscat,Two,Two,Partially furnished,200,Third floor,One to five years,Monthly,345
Muscat,Three,Three,Not furnished,209,First floor,Six to nine years,Monthly,350
Muscat,Two,Two,Not furnished,200,Second floor,Six to nine years,Monthly,220
Muscat,Two,Three,Not furnished,250,Second floor,One to five years,Yearly,180
Muscat,Two,Three,Not furnished,200,First floor,Zero to eleven months,Yearly,230
Muscat,Three,Three,Not furnished,250,Second floor,One to five years,Yearly,160
Muscat,Two,Three,Fully furnished,120,Second floor,One to five years,Monthly,340
Al Batinah,Two,Two,Not furnished,223,Ground floor,One to five years,Yearly,120
Muscat,Three,Three,Not furnished,200,First floor,One to five years,Yearly,500
Muscat,Three,Three,Not furnished,125,Third floor,One to five years,Yearly,400
Muscat,Two,Three,Not furnished,90,First floor,One to five years,Monthly,200
Muscat,Two,Three,Not furnished,120,First floor,One to five years,Monthly,220
Muscat,One,Two,Fully furnished,80,First floor,One to five years,Yearly,400
Muscat,Two,Three,Not furnished,80,Second floor,Six to nine years,Yearly,230
Dhofar,Two,Two,Fully furnished,150,Ground floor,Zero to eleven months,Daily,25
Muscat,Two,Two,Fully furnished,100,First floor,Zero to eleven months,Monthly,300
Ad Dakhiliyah,Two,Three,Partially furnished,160,First floor,Six to nine years,Monthly,120
Muscat,Two,Two,Fully furnished,110,First floor,One to five years,Monthly,310
Muscat,One,One,Fully furnished,100,Ground floor,One to five years,Monthly,200
Muscat,Two,Three,Not furnished,95,Sixth floor and up,One to five years,Yearly,230
Muscat,One,Two,Not furnished,70,Second floor,One to five years,Yearly,250
Dhofar,Two,Two,Fully furnished,70,Fourth floor,Zero to eleven months,Monthly,110
Muscat,Two,Two,Not furnished,50,Ground floor,Six to nine years,Monthly,200
Muscat,Three,Three,Not furnished,180,Ground floor,Six to nine years,Monthly,280
Muscat,Two,Two,Fully furnished,120,Third floor,One to five years,Monthly,65
Muscat,Three,Three,Not furnished,125,Second floor,Six to nine years,Monthly,150
Al Batinah,Two,Two,Not furnished,105,First floor,One to five years,Monthly,110
Al Batinah,Three,Two,Not furnished,110,First floor,One to five years,Monthly,115
Muscat,Four,Three,Not furnished,200,First floor,Zero to eleven months,Yearly,200
Dhofar,Two,One,Fully furnished,280,Ground floor,One to five years,Yearly,120
Muscat,Four,Three,Not furnished,380,First floor,One to five years,Yearly,350
Ad Dakhiliyah,Three,Two,Not furnished,120,Third floor,Six to nine years,Monthly,100
Muscat,Two,Two,Not furnished,95,Sixth floor and up,One to five years,Monthly,190
Muscat,Two,Two,Fully furnished,100,Second floor,One to five years,Monthly,200
Muscat,Two,Three,Fully furnished,150,Ground floor,One to five years,Monthly,280
Muscat,Two,Three,Fully furnished,90,Fifth floor,Six to nine years,Yearly,250
Ad Dakhiliyah,Three,Three,Fully furnished,130,Ground floor,Six to nine years,Monthly,200
Muscat,Two,Two,Not furnished,95,First floor,Six to nine years,Yearly,185
Muscat,Two,Two,Not furnished,85,Basement floor,One to five years,Monthly,120
Muscat,Three,Three,Not furnished,250,First floor,Zero to eleven months,Yearly,230
Muscat,One,One,Not furnished,105,First floor,One to five years,Yearly,70
Muscat,Two,Two,Not furnished,106,First floor,Six to nine years,Monthly,200
Muscat,Studio,One,Partially furnished,88,Fifth floor,One to five years,Monthly,550
Al Batinah,Two,Two,Not furnished,150,Ground floor,Six to nine years,Monthly,225
Muscat,One,One,Partially furnished,80,Ground floor,One to five years,Yearly,400
Muscat,Two,Three,Not furnished,100,Third floor,Six to nine years,Yearly,275
Muscat,One,One,Not furnished,60,Second floor,One to five years,Yearly,210
Muscat,One,Two,Not furnished,60,Fifth floor,One to five years,Yearly,250
Muscat,One,Two,Not furnished,60,Third floor,One to five years,Yearly,200
Muscat,Two,Two,Not furnished,120,Third floor,Six to nine years,Yearly,450
Muscat,Two,Two,Not furnished,140,First floor,Six to nine years,Yearly,375
Muscat,Two,Three,Not furnished,110,Second floor,One to five years,Yearly,275
Muscat,Two,Two,Not furnished,140,Sixth floor and up,One to five years,Yearly,425
Muscat,Two,Three,Not furnished,140,Second floor,One to five years,Yearly,475
Muscat,Two,Three,Not furnished,140,Sixth floor and up,One to five years,Yearly,375
Muscat,Two,Three,Not furnished,110,Third floor,Six to nine years,Yearly,310
Muscat,Three,Three,Not furnished,150,Fifth floor,One to five years,Yearly,600
Dhofar,Studio,One,Fully furnished,200,First floor,ten to nineteen years,Monthly,80
Muscat,Two,Three,Not furnished,83,Fifth floor,One to five years,Monthly,150
Muscat,Two,Two,Not furnished,100,Ground floor,Six to nine years,Monthly,130
Muscat,Two,Three,Not furnished,120,Third floor,One to five years,Monthly,220
Muscat,Three,Three,Partially furnished,120,First floor,One to five years,Monthly,190
Muscat,Two,Two,Fully furnished,84,Sixth floor and up,One to five years,Daily,300
Ad Dakhiliyah,Two,Three,Partially furnished,120,First floor,Zero to eleven months,Monthly,90
Muscat,Three,Two,Not furnished,300,First floor,One to five years,Monthly,200
Ad Dakhiliyah,Two,Two,Fully furnished,105,Third floor,Six to nine years,Daily,30
Muscat,Two,Three,Not furnished,120,Sixth floor and up,One to five years,Yearly,350
Muscat,Three,Three,Not furnished,180,Sixth floor and up,One to five years,Yearly,450
Muscat,Two,Four,Partially furnished,150,Second floor,One to five years,Yearly,900
Ash Sharqiyah,Two,Three,Fully furnished,600,Ground floor,Zero to eleven months,Daily,40
Muscat,Two,Two,Not furnished,120,Fourth floor,One to five years,Yearly,375
Muscat,Three,Four,Partially furnished,120,Ground floor,Zero to eleven months,Yearly,170
Muscat,Studio,One,Not furnished,80,Ground floor,One to five years,Monthly,130
Muscat,One,Two,Fully furnished,70,Third floor,One to five years,Yearly,270
Muscat,Three,Three,Not furnished,120,First floor,One to five years,Monthly,230
Muscat,Three,Three,Not furnished,250,First floor,One to five years,Yearly,230
Muscat,Two,Two,Fully furnished,140,First floor,Zero to eleven months,Monthly,300
Muscat,Two,Two,Fully furnished,200,Fourth floor,One to five years,Monthly,300
Muscat,Two,Three,Not furnished,185,First floor,Six to nine years,Monthly,210
Muscat,Three,Three,Not furnished,100,First floor,One to five years,Monthly,130
Muscat,Two,Three,Not furnished,97,Fourth floor,One to five years,Monthly,250
Muscat,Two,Two,Fully furnished,82,Sixth floor and up,One to five years,Daily,20
Al Wusta,Two,Two,Fully furnished,85,Second floor,One to five years,Monthly,450
Muscat,Two,Two,Not furnished,103,Ground floor,Zero to eleven months,Yearly,300
Muscat,One,One,Not furnished,80,First floor,One to five years,Yearly,450
Muscat,One,Two,Fully furnished,90,Second floor,One to five years,Yearly,180
Muscat,Three,Three,Not furnished,130,Ground floor,One to five years,Yearly,215
Muscat,Studio,One,Not furnished,70,First floor,One to five years,Yearly,125
Muscat,Three,Three,Not furnished,130,Ground floor,Six to nine years,Yearly,245
Muscat,Two,Two,Not furnished,130,Fifth floor,One to five years,Yearly,300
Muscat,Three,Three,Not furnished,130,Second floor,One to five years,Yearly,215
Muscat,Three,Three,Not furnished,120,Second floor,One to five years,Yearly,170
Muscat,Two,Three,Not furnished,200,Fourth floor,One to five years,Monthly,250
Muscat,One,One,Fully furnished,140,Third floor,One to five years,Yearly,350
Dhofar,Three,Three,Fully furnished,300,Ground floor,One to five years,Yearly,130
Muscat,Three,Two,Not furnished,100,Second floor,ten to nineteen years,Monthly,175
Muscat,One,One,Fully furnished,60,First floor,One to five years,Monthly,290
Al Buraimi,Three,Two,Not furnished,100,Ground floor,Six to nine years,Monthly,80
Muscat,One,One,Partially furnished,100,Second floor,One to five years,Monthly,50
Al Batinah,Two,Two,Not furnished,150,Ground floor,ten to nineteen years,Monthly,90
Dhofar,One,Two,Fully furnished,69,First floor,Zero to eleven months,Daily,40
Muscat,Two,Two,Not furnished,90,Second floor,Zero to eleven months,Monthly,115
Al Batinah,Two,One,Not furnished,200,Basement floor,Zero to eleven months,Monthly,150
Muscat,Two,Two,Partially furnished,90,Fifth floor,Six to nine years,Monthly,190
Al Batinah,Two,Two,Not furnished,182,Ground floor,Zero to eleven months,Yearly,150
Muscat,Three,Two,Not furnished,132,First floor,ten to nineteen years,Monthly,250
Al Batinah,Two,Two,Not furnished,75,First floor,Six to nine years,Monthly,110
Muscat,Two,Three,Not furnished,150,First floor,ten to nineteen years,Monthly,240
Ad Dakhiliyah,Four,Four,Not furnished,300,First floor,ten to nineteen years,Yearly,160
Ad Dakhiliyah,Four,Four,Not furnished,300,First floor,Six to nine years,Monthly,160
Ad Dakhiliyah,Two,Three,Partially furnished,150,Second floor,Six to nine years,Yearly,80
Muscat,Two,Two,Partially furnished,200,Second floor,One to five years,Monthly,100
Al Buraimi,Three,Two,Not furnished,222,First floor,One to five years,Monthly,80
Al Batinah,Two,Three,Partially furnished,155,Ground floor,Six to nine years,Monthly,140
Dhofar,Three,Three,Fully furnished,100,First floor,One to five years,Monthly,120
Muscat,One,Two,Fully furnished,55,Ground floor,Zero to eleven months,Monthly,55
Muscat,Three,Two,Not furnished,130,Ground floor,One to five years,Monthly,140
Ash Sharqiyah,Three,Two,Not furnished,100,Ground floor,ten to nineteen years,Monthly,140
Al Batinah,Two,Two,Not furnished,72,First floor,One to five years,Monthly,100
Ash Sharqiyah,Three,Two,Not furnished,210,First floor,One to five years,Monthly,150
Ash Sharqiyah,Two,Three,Not furnished,102,Ground floor,ten to nineteen years,Monthly,100
Al Batinah,Two,Two,Fully furnished,150,Second floor,One to five years,Monthly,220
Al Batinah,One,One,Fully furnished,75,First floor,One to five years,Monthly,150
Muscat,One,Two,Not furnished,110,Ground floor,One to five years,Yearly,110
Muscat,Two,Three,Not furnished,102,Second floor,One to five years,Monthly,290
Al Batinah,One,One,Fully furnished,70,Ground floor,Zero to eleven months,Daily,15
Muscat,Two,Two,Not furnished,95,First floor,Six to nine years,Yearly,180
Muscat,One,One,Fully furnished,120,First floor,One to five years,Monthly,150
Muscat,Two,Three,Partially furnished,100,Sixth floor and up,One to five years,Yearly,130
Muscat,Two,Two,Not furnished,130,Fourth floor,Zero to eleven months,Yearly,375
Muscat,One,One,Fully furnished,120,Ground floor,Zero to eleven months,Monthly,245
Muscat,Two,One,Not furnished,88,Second floor,Six to nine years,Monthly,200
Muscat,One,Two,Not furnished,99,Ground floor,ten to nineteen years,Yearly,200
Muscat,Four,Three,Not furnished,110,Ground floor,ten to nineteen years,Monthly,230
Ash Sharqiyah,Three,Three,Partially furnished,115,Basement floor,One to five years,Monthly,150
Ash Sharqiyah,Two,Two,Fully furnished,100,First floor,Six to nine years,Daily,15
Muscat,Two,Three,Not furnished,120,Sixth floor and up,Six to nine years,Monthly,275
Muscat,One,One,Fully furnished,150,Sixth floor and up,One to five years,Monthly,250
Al Batinah,Two,Two,Fully furnished,115,Second floor,Six to nine years,Monthly,150
Muscat,Two,Two,Fully furnished,100,First floor,Zero to eleven months,Monthly,300
Muscat,Two,Two,Not furnished,90,Second floor,One to five years,Yearly,160
Muscat,Three,Three,Not furnished,120,Second floor,One to five years,Yearly,220
Muscat,Two,Two,Not furnished,90,Second floor,One to five years,Yearly,210
Muscat,Two,Three,Not furnished,100,Second floor,One to five years,Yearly,230
Al Buraimi,Two,Two,Not furnished,600,First floor,One to five years,Monthly,70
Muscat,Two,Two,Fully furnished,75,First floor,One to five years,Monthly,300
Muscat,One,One,Not furnished,300,Third floor,Six to nine years,Monthly,100
Dhofar,One,Two,Fully furnished,90,First floor,One to five years,Daily,35
Muscat,Four,Four,Partially furnished,120,Second floor,One to five years,Monthly,400
Muscat,Four,Four,Not furnished,80,First floor,One to five years,Yearly,500
Muscat,Three,Three,Not furnished,120,Ground floor,One to five years,Monthly,250
Muscat,Three,Three,Not furnished,250,Ground floor,One to five years,Yearly,250
Muscat,Two,Two,Not furnished,80,First floor,One to five years,Yearly,230
Muscat,Two,Three,Not furnished,80,First floor,One to five years,Yearly,230
Muscat,Two,Two,Not furnished,80,First floor,One to five years,Yearly,160
Muscat,Two,Two,Not furnished,80,First floor,One to five years,Yearly,160
Muscat,Two,Two,Fully furnished,170,Second floor,Zero to eleven months,Monthly,290
Muscat,Two,Three,Not furnished,127,First floor,One to five years,Monthly,150
Muscat,Two,Two,Not furnished,80,First floor,One to five years,Yearly,220
Muscat,Two,Two,Not furnished,80,First floor,One to five years,Yearly,180
Muscat,Three,Two,Not furnished,110,First floor,Twenty years or more,Yearly,130
Al Batinah,Studio,One,Fully furnished,50,First floor,One to five years,Daily,15
Muscat,Two,Two,Fully furnished,100,First floor,ten to nineteen years,Yearly,375
Muscat,Two,Two,Not furnished,120,First floor,Six to nine years,Yearly,170
Ad Dakhiliyah,Three,Two,Not furnished,100,First floor,ten to nineteen years,Monthly,85
Muscat,Three,Three,Not furnished,300,Ground floor,Six to nine years,Monthly,350
Muscat,Two,Two,Not furnished,100,Second floor,One to five years,Monthly,150
Dhofar,Three,Two,Fully furnished,300,Ground floor,Six to nine years,Monthly,120
Muscat,One,One,Fully furnished,80,Ground floor,One to five years,Yearly,200
Muscat,One,One,Not furnished,100,Second floor,One to five years,Monthly,190
Muscat,One,Two,Fully furnished,73,First floor,One to five years,Monthly,490
Muscat,Three,Three,Fully furnished,107,First floor,Six to nine years,Monthly,20
Muscat,One,One,Partially furnished,50,Sixth floor and up,Six to nine years,Monthly,160
Ash Sharqiyah,Studio,One,Fully furnished,100,Ground floor,Zero to eleven months,Daily,25
Dhofar,Two,Two,Fully furnished,120,First floor,One to five years,Yearly,120
Al Batinah,Two,Two,Not furnished,100,Ground floor,One to five years,Monthly,80
Ad Dakhiliyah,Three,Two,Partially furnished,115,Ground floor,Twenty years or more,Yearly,85
Al Batinah,One,One,Fully furnished,85,Third floor,One to five years,Monthly,125
Muscat,Two,Two,Fully furnished,100,First floor,One to five years,Monthly,300
Muscat,Three,Two,Not furnished,105,Second floor,Six to nine years,Monthly,120
Muscat,Four,Four,Not furnished,160,Second floor,One to five years,Monthly,150
Muscat,Studio,One,Not furnished,100,Basement floor,ten to nineteen years,Monthly,130
Dhofar,Three,Two,Fully furnished,170,First floor,One to five years,Monthly,150
Muscat,Two,Three,Not furnished,165,Ground floor,Six to nine years,Yearly,230
Muscat,Three,Two,Partially furnished,200,Third floor,ten to nineteen years,Monthly,150
Muscat,Two,Two,Not furnished,95,Third floor,One to five years,Yearly,330
Muscat,Two,Two,Fully furnished,300,First floor,Six to nine years,Monthly,300
Muscat,Two,Three,Not furnished,88,Third floor,One to five years,Yearly,180
Ash Sharqiyah,Two,Two,Not furnished,80,Second floor,One to five years,Yearly,60
Muscat,Three,Four,Not furnished,143,First floor,One to five years,Yearly,280
Dhofar,Two,Two,Fully furnished,123,First floor,One to five years,Monthly,98
Dhofar,Two,One,Fully furnished,123,First floor,One to five years,Monthly,88
Dhofar,Two,Two,Fully furnished,110,First floor,One to five years,Daily,15
Muscat,Three,Three,Not furnished,110,Second floor,One to five years,Monthly,130
Muscat,Two,One,Fully furnished,150,Fifth floor,One to five years,Monthly,350
Dhofar,Two,Two,Fully furnished,120,Ground floor,One to five years,Monthly,100
Muscat,Three,Two,Not furnished,150,First floor,One to five years,Monthly,230
Muscat,Two,Two,Not furnished,91,Sixth floor and up,One to five years,Yearly,170
Muscat,Two,Three,Fully furnished,110,Third floor,One to five years,Monthly,120
Muscat,Two,Two,Not furnished,100,First floor,One to five years,Yearly,250
Ad Dakhiliyah,Two,Two,Not furnished,100,Second floor,One to five years,Monthly,120
Muscat,Two,Three,Not furnished,120,First floor,Six to nine years,Yearly,250
Muscat,One,Two,Not furnished,70,Ground floor,ten to nineteen years,Yearly,200
Muscat,Two,Three,Fully furnished,110,Fifth floor,One to five years,Monthly,20
Muscat,Two,Three,Fully furnished,140,Sixth floor and up,Zero to eleven months,Monthly,370
Al Batinah,Two,Two,Not furnished,80,Ground floor,ten to nineteen years,Monthly,120
Dhofar,Two,Two,Fully furnished,150,Ground floor,One to five years,Yearly,100
Dhofar,Two,Two,Fully furnished,80,Ground floor,Six to nine years,Monthly,115
Muscat,Two,Two,Fully furnished,140,First floor,One to five years,Monthly,350
Muscat,Two,Two,Not furnished,85,Fourth floor,One to five years,Yearly,260
Dhofar,Two,Two,Fully furnished,83,Second floor,One to five years,Yearly,120
Muscat,Two,Three,Not furnished,90,First floor,One to five years,Yearly,230
Muscat,Two,Two,Fully furnished,150,Third floor,Zero to eleven months,Monthly,350
Muscat,One,One,Fully furnished,90,First floor,One to five years,Monthly,240
